Name,Address,Municipality,OpeningHours,Telephone,Type
Centro Natatorio Folgaria," Via Nazioni Unite, 21/B", 38064   Folgaria (TN)   ,"{'Monday': '10:00 - 21:00', 'Tuesday': '10:00 - 21:00', 'Wednesday': '10:00 - 21:00', 'Thursday': '10:00 - 21:00', 'Friday': '10:00 - 21:00', 'Saturday': '15:30 - 20:30', 'Sunday': '15:30 - 20:30'}",0464 720058,Centri e corsi sportivi
Associaz. Sport. Dilettantistica Tennis Levico Terme," Localita' Belvedere, 1", 38056   Levico Terme (TN)   ,{},333 2739341,Centri e corsi sportivi
Associazione Equestre Cavalcailvento, Località Salin, 38073   Cavedine (TN)   ,{},0461 568267,Centri e corsi sportivi
Tennis Club Associazione Sportiva Dilettantistica, Frazione Santa Croce, 38071   Bleggio Superiore (TN)   ,{},334 2925960,Centri e corsi sportivi
Campo da calcio La Pineta di Folgaria, Via De Gasperi, 38064   Folgaria (TN)   ,{},0464 723131,Centri e corsi sportivi
Circolo Tennis Rovereto," Via della Roggia, 43", 38068   Rovereto (TN)   ,"{'Monday': '08:00 - 22:00', 'Tuesday': '08:00 - 22:00', 'Wednesday': '08:00 - 22:00', 'Thursday': '08:00 - 22:00', 'Friday': '08:00 - 22:00', 'Saturday': '09:00 - 20:00', 'Sunday': '09:00 - 20:00'}",0464 431045,Centri e corsi sportivi
Circolo Tennis Rovereto Asd," Via Lungo Leno Destro, 25", 38068   Rovereto (TN)   ,"{'Monday': '07:30 - 22:00', 'Tuesday': '07:30 - 22:00', 'Wednesday': '07:30 - 22:00', 'Thursday': '07:30 - 22:00', 'Friday': '07:30 - 22:00', 'Saturday': '07:30 - 22:00', 'Sunday': '07:30 - 22:00'}",0464 439377,Centri e corsi sportivi
Campo Sportivo Moar," Frazione Azzolini, 82", 38046   Lavarone (TN)   ,"{'Monday': '00:00 - 24:00', 'Tuesday': '00:00 - 24:00', 'Wednesday': '00:00 - 24:00', 'Thursday': '00:00 - 24:00', 'Friday': '00:00 - 24:00', 'Saturday': '00:00 - 24:00', 'Sunday': '00:00 - 24:00'}",0464 783179,Centri e corsi sportivi
Campo da calcio Bedolpian, Località Bedolpian, 38042   Baselga di Pinè (TN)   ,"{'Monday': '00:00 - 24:00', 'Tuesday': '00:00 - 24:00', 'Wednesday': '00:00 - 24:00', 'Thursday': '00:00 - 24:00', 'Friday': '00:00 - 24:00', 'Saturday': '00:00 - 24:00', 'Sunday': '00:00 - 24:00'}",349 6989956,Centri e corsi sportivi
Circolo Tennis Calisio," Via Pradiscola, 1", 38100   Trento (TN)   ,"{'Monday': '09:00 - 23:00', 'Tuesday': '09:00 - 23:00', 'Wednesday': '09:00 - 23:00', 'Thursday': '09:00 - 23:00', 'Friday': '09:00 - 23:00', 'Saturday': '09:00 - 23:00', 'Sunday': '09:00 - 23:00'}",0461 820040,Centri e corsi sportivi
Associaz. Sport. Dilettantistica Tennis Levico Terme, Località Belvedere, 38056   Levico Terme (TN)   ,"{'Monday': '08:00 - 23:00', 'Tuesday': '08:00 - 23:00', 'Wednesday': '08:00 - 23:00', 'Thursday': '08:00 - 23:00', 'Friday': '08:00 - 23:00', 'Saturday': '08:00 - 23:00', 'Sunday': '08:00 - 23:00'}",333 2739341,Centri e corsi sportivi
Star Club," Via Unterveger Giambattista, 104", 38122   Trento (TN)   ,"{'Monday': '05:00 - 22:00', 'Tuesday': '05:00 - 22:00', 'Wednesday': '05:00 - 22:00', 'Thursday': '05:00 - 22:00', 'Friday': '05:00 - 22:00', 'Saturday': '05:00 - 20:00', 'Sunday': '05:00 - 20:00'}",0461 821284,Centri e corsi sportivi
Ecosport Italia S.r.l.," Via Avisio, 24", 38121   Trento (TN)   ,{},329 5459087,Impianti sportivi e ricreativi - attrezzature e costruzione
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento," Strada delle Viote, 1", 38123   Trento (TN)   ,{},0461 948032,Centri e corsi sportivi
Campo di Atletica Leggera Comunale," Via Maccani Ezio, 2", 38121   Trento (TN)   ,{},0461 830454,Centri e corsi sportivi
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento," Via Menguzzato Veglia Clorinda, 6", 38123   Trento (TN)   ,{},0461 390785,Centri e corsi sportivi
Centro Sportivo Trento Nord Gardolo," Via IV Novembre, 23/4", 38121   Trento (TN)   ,"{'Monday': '09:00 - 21:00', 'Tuesday': '09:00 - 21:00', 'Wednesday': '09:00 - 21:00', 'Thursday': '09:00 - 21:00', 'Friday': '09:00 - 21:00', 'Saturday': '09:00 - 21:00', 'Sunday': '09:00 - 21:00'}",0461 959812,Centri e corsi sportivi
Stadio del ghiaccio Trento," Via Fersina, 2", 38123   Trento (TN)   ,{},0461 391854,Centri e corsi sportivi
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento," Via IV Novembre . Gardolo, 23", 38100   Trento (TN)   ,{},0461 959800,Centri e corsi sportivi
